Element ID;Cost;Flamability;Classification of Flammability;Count;Auto-ignition Temperature;Weight;Description;Diameter;Family;Family and Type;Finish;Internal Current;Voltage;W;Waste Connection NPT;Width;URL
802782;;;;1;0;;Pendant-Mounted Direct;;SH_Lighting-Pendant-Litecontrol-Mod66-8_Foot_09;SH_Lighting-Pendant-Litecontrol-Mod66-8_Foot_09: P-D-66N28T8;;;277 V;;;0;http://www.litecontrol.com/contentmgr/showdetails.php/id/368
812954;;;;1;0;;Pendant-Mounted Direct;;SH_Lighting-Pendant-Litecontrol-Mod66-8_Foot_09;SH_Lighting-Pendant-Litecontrol-Mod66-8_Foot_09: P-D-66N28T8;;;277 V;;;0;http://www.litecontrol.com/contentmgr/showdetails.php/id/368
906937;;;;1;;;;;M_Double-Flush;M_Double-Flush: 1730 x 2134mm;;;;;;;
909735;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
909736;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
909737;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
909738;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
931858;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
931859;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
931860;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
931861;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
935747;;;;1;;;;;Walvit_Hung Bowl_604118 W;Walvit_Hung Bowl_604118 W: Walvit;;;;;;;http://www.caromausa.com/Walvit-RFP
936823;;;;1;;;Rectangle Vessel Lavatory;;Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151;Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151: Standard;Epoxy Resin - TOTO - 61 Angelic White;;;;32 mm;;http://www.totousa.com
937138;;;;1;;;;;M_Shower Stall-2D;M_Shower Stall-2D: small;;;;;;;
937571;;;;1;;;;;Walvit_Hung Bowl_604118 W;Walvit_Hung Bowl_604118 W: Walvit;;;;;;;http://www.caromausa.com/Walvit-RFP
937572;;;;1;;;;;M_Shower Stall-2D;M_Shower Stall-2D: M_Shower Stall-2D;;;;;;;
937573;;;;1;;;Rectangle Vessel Lavatory;;Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151;Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151: Standard;Epoxy Resin - TOTO - 61 Angelic White;;;;32 mm;;http://www.totousa.com
938761;;;;1;;;;;Walvit_Hung Bowl_604118 W;Walvit_Hung Bowl_604118 W: Walvit;;;;;;;http://www.caromausa.com/Walvit-RFP
938762;;;;1;;;;;M_Shower Stall-2D;M_Shower Stall-2D: M_Shower Stall-2D;;;;;;;
938763;;;;1;;;Rectangle Vessel Lavatory;;Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151;Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151: Standard;Epoxy Resin - TOTO - 61 Angelic White;;;;32 mm;;http://www.totousa.com
939962;;;;1;;;Internal Single Pocket Slider;;Pocket_Slider_Door_5851;Pocket_Slider_Door_5851: 2.027 x 0.945;;;;;;;
940221;;;;1;;;Internal Single Pocket Slider;;Pocket_Slider_Door_5851;Pocket_Slider_Door_5851: 2.027 x 0.945;;;;;;;
;;;;1;;;Scarlet Oak;;RPC Tree - Deciduous;RPC Tree - Deciduous: Scarlet Oak - 42';;;;;;;
;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
;;;;1;;;Red Maple;;RPC Tree - Deciduous;RPC Tree - Deciduous: Red Maple - 30';;;;;;;
946631;;;;1;;;Red Ash;;RPC Tree - Deciduous;RPC Tree - Deciduous: Red Ash - 25';;;;;;;
946708;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
946759;;;;1;;;Lombardy Poplar;;RPC Tree - Deciduous;RPC Tree - Deciduous: Lombardy Poplar - 40';;;;;;;
;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
;;;;1;;;Scarlet Oak;;RPC Tree - Deciduous;RPC Tree - Deciduous: Scarlet Oak - 42';;;;;;;
;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
;;;;1;;;Red Maple;;RPC Tree - Deciduous;RPC Tree - Deciduous: Red Maple - 30';;;;;;;
;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
;;;;1;;;Large Tooth Aspen;;RPC Tree - Deciduous;RPC Tree - Deciduous: Largetooth Aspen - 25';;;;;;;
;;;;1;;;Hawthorn;;RPC Tree - Deciduous;RPC Tree - Deciduous: Hawthorn - 25';;;;;;;
947330;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
947379;;;;1;;;Honey Locust;;RPC Tree - Deciduous;RPC Tree - Deciduous: Honey Locust - 25';;;;;;;
950367;;;;1;;;;;M_RPC Beetle;M_RPC Beetle: M_RPC Beetle;;;;;;;
954641;;;;1;;;;;RPC Female;RPC Female: YinYin;;;;;;;
954779;;;;1;;;;;RPC Male;RPC Male: Alex;;;;;;;
954992;;;;1;;;;;RPC Female;RPC Female: YinYin;;;;;;;
955125;;;;1;;;;;RPC Female;RPC Female: YinYin;;;;;;;
;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
976942;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
976944;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
976946;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977182;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977191;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977193;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977195;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977197;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977199;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977201;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977203;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977406;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
977413;;;;1;;;;;System Panel;System Panel: Glazed;;;;;;;
